elapsed_s,phase,arms_ma,head_ma,total_ma
1.253,simultaneous_pose,104.0,0.0,104.0
1.255,simultaneous_pose,110.5,0.0,110.5
1.258,simultaneous_pose,123.5,0.0,123.5
1.26,simultaneous_pose,117.0,0.0,117.0
1.263,simultaneous_pose,117.0,0.0,117.0
1.266,simultaneous_pose,104.0,0.0,104.0
1.268,simultaneous_pose,104.0,0.0,104.0
1.271,simultaneous_pose,117.0,0.0,117.0
1.273,simultaneous_pose,104.0,0.0,104.0
1.276,simultaneous_pose,91.0,0.0,91.0
1.279,simultaneous_pose,117.0,0.0,117.0
1.281,simultaneous_pose,91.0,0.0,91.0
1.284,simultaneous_pose,117.0,0.0,117.0
1.286,simultaneous_pose,91.0,0.0,91.0
1.289,simultaneous_pose,91.0,0.0,91.0
1.292,simultaneous_pose,97.5,0.0,97.5
1.294,simultaneous_pose,110.5,0.0,110.5
1.297,simultaneous_pose,91.0,0.0,91.0
1.299,simultaneous_pose,110.5,0.0,110.5
1.302,simultaneous_pose,97.5,0.0,97.5
1.304,simultaneous_pose,110.5,0.0,110.5
1.307,simultaneous_pose,104.0,0.0,104.0
1.31,simultaneous_pose,110.5,0.0,110.5
1.312,simultaneous_pose,104.0,6.5,110.5
1.315,simultaneous_pose,104.0,0.0,104.0
1.318,simultaneous_pose,123.5,0.0,123.5
1.32,simultaneous_pose,110.5,0.0,110.5
1.323,simultaneous_pose,110.5,0.0,110.5
1.325,simultaneous_pose,104.0,0.0,104.0
1.328,simultaneous_pose,104.0,6.5,110.5
1.331,simultaneous_pose,110.5,0.0,110.5
1.333,simultaneous_pose,97.5,6.5,104.0
1.336,simultaneous_pose,110.5,0.0,110.5
1.338,simultaneous_pose,104.0,0.0,104.0
1.341,simultaneous_pose,84.5,0.0,84.5
1.344,simultaneous_pose,97.5,0.0,97.5
1.346,simultaneous_pose,110.5,6.5,117.0
1.349,simultaneous_pose,143.0,6.5,149.5
1.352,simultaneous_pose,162.5,6.5,169.0
1.354,simultaneous_pose,162.5,0.0,162.5
1.357,simultaneous_pose,130.0,0.0,130.0
1.359,simultaneous_pose,143.0,0.0,143.0
1.362,simultaneous_pose,136.5,6.5,143.0
1.365,simultaneous_pose,136.5,0.0,136.5
1.367,simultaneous_pose,136.5,0.0,136.5
1.37,simultaneous_pose,156.0,0.0,156.0
1.372,simultaneous_pose,136.5,0.0,136.5
1.375,simultaneous_pose,156.0,0.0,156.0
1.378,simultaneous_pose,143.0,6.5,149.5
1.38,simultaneous_pose,130.0,0.0,130.0
1.383,simultaneous_pose,136.5,0.0,136.5
1.386,simultaneous_pose,143.0,0.0,143.0
1.388,simultaneous_pose,117.0,0.0,117.0
1.391,simultaneous_pose,136.5,0.0,136.5
1.393,simultaneous_pose,149.5,6.5,156.0
1.396,simultaneous_pose,143.0,0.0,143.0
1.398,simultaneous_pose,149.5,6.5,156.0
1.401,simultaneous_pose,130.0,0.0,130.0
1.404,simultaneous_pose,149.5,0.0,149.5
1.406,simultaneous_pose,123.5,0.0,123.5
1.409,simultaneous_pose,143.0,0.0,143.0
1.411,simultaneous_pose,117.0,0.0,117.0
1.414,simultaneous_pose,130.0,0.0,130.0
1.416,simultaneous_pose,130.0,0.0,130.0
1.419,simultaneous_pose,136.5,0.0,136.5
1.422,simultaneous_pose,130.0,0.0,130.0
1.424,simultaneous_pose,130.0,0.0,130.0
1.427,simultaneous_pose,117.0,0.0,117.0
1.43,simultaneous_pose,130.0,0.0,130.0
1.432,simultaneous_pose,149.5,0.0,149.5
1.435,simultaneous_pose,130.0,0.0,130.0
1.437,simultaneous_pose,130.0,6.5,136.5
1.44,simultaneous_pose,143.0,0.0,143.0
1.443,simultaneous_pose,130.0,6.5,136.5
