elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
27.8497,2026-08-28T03:51:10.375997+00:00,5072,816,14,enable_right_gripper
27.8512,2026-08-28T03:51:10.377466+00:00,5072,816,14,enable_right_gripper
27.8526,2026-08-28T03:51:10.378936+00:00,5072,816,14,enable_right_gripper
27.8541,2026-08-28T03:51:10.380408+00:00,5072,816,14,enable_right_gripper
27.8556,2026-08-28T03:51:10.381875+00:00,5072,816,14,enable_right_gripper
27.8571,2026-08-28T03:51:10.383407+00:00,5072,816,14,enable_right_gripper
27.8584,2026-08-28T03:51:10.384667+00:00,5072,816,14,enable_right_gripper
27.8596,2026-08-28T03:51:10.385922+00:00,5072,816,14,enable_right_gripper
27.8609,2026-08-28T03:51:10.387178+00:00,5072,816,14,enable_right_gripper
27.8621,2026-08-28T03:51:10.388437+00:00,5072,816,14,enable_right_gripper
27.8634,2026-08-28T03:51:10.389692+00:00,5072,816,14,enable_right_gripper
27.8646,2026-08-28T03:51:10.390949+00:00,5072,816,14,enable_right_gripper
27.8659,2026-08-28T03:51:10.392205+00:00,5072,816,14,enable_right_gripper
27.8672,2026-08-28T03:51:10.393489+00:00,5072,816,14,enable_right_gripper
27.8686,2026-08-28T03:51:10.394953+00:00,5072,816,14,enable_right_gripper
27.8701,2026-08-28T03:51:10.396429+00:00,5072,816,14,enable_right_gripper
27.8716,2026-08-28T03:51:10.397892+00:00,5072,816,14,enable_right_gripper
27.8731,2026-08-28T03:51:10.399390+00:00,5072,816,14,enable_right_gripper
27.8746,2026-08-28T03:51:10.400858+00:00,5072,816,14,enable_right_gripper
27.8759,2026-08-28T03:51:10.402197+00:00,5072,816,14,enable_right_gripper
27.8772,2026-08-28T03:51:10.403484+00:00,5072,816,14,enable_right_gripper
27.8784,2026-08-28T03:51:10.404743+00:00,5072,816,14,enable_right_gripper
27.8797,2026-08-28T03:51:10.405998+00:00,5072,816,14,enable_right_gripper
27.8810,2026-08-28T03:51:10.407255+00:00,5072,816,14,enable_right_gripper
27.8822,2026-08-28T03:51:10.408516+00:00,5072,816,14,enable_right_gripper
27.8835,2026-08-28T03:51:10.409769+00:00,5072,816,14,enable_right_gripper
27.8848,2026-08-28T03:51:10.411056+00:00,5072,816,14,enable_right_gripper
27.8862,2026-08-28T03:51:10.412527+00:00,5072,816,14,enable_right_gripper
27.8877,2026-08-28T03:51:10.413997+00:00,5072,816,14,enable_right_gripper
27.8892,2026-08-28T03:51:10.415489+00:00,5072,816,14,enable_right_gripper
27.8907,2026-08-28T03:51:10.416962+00:00,5072,816,14,enable_right_gripper
27.8921,2026-08-28T03:51:10.418414+00:00,5072,816,14,enable_right_gripper
