09-01-2026 21:37:02 RAM 3791/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [29%@729,20%@729,21%@729,22%@729,26%@1036,20%@1036] GR3D_FREQ 99% cpu@65.281C soc2@63.437C soc0@63.968C gpu@67.406C tj@67.406C soc1@63.031C VDD_IN 22162mW/20333mW VDD_CPU_GPU_CV 8563mW/7735mW VDD_SOC 7964mW/7330mW
09-01-2026 21:37:07 RAM 3773/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [22%@729,16%@729,22%@729,25%@729,19%@729,32%@729] GR3D_FREQ 99% cpu@65.687C soc2@63.656C soc0@64.062C gpu@67.218C tj@67.218C soc1@63.312C VDD_IN 22123mW/20399mW VDD_CPU_GPU_CV 8524mW/7765mW VDD_SOC 8003mW/7355mW
09-01-2026 21:37:12 RAM 3787/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [28%@806,24%@806,20%@806,20%@806,32%@883,23%@883] GR3D_FREQ 99% cpu@65.75C soc2@63.968C soc0@64.343C gpu@68.218C tj@68.218C soc1@63.437C VDD_IN 22398mW/20471mW VDD_CPU_GPU_CV 8784mW/7801mW VDD_SOC 7911mW/7375mW
09-01-2026 21:37:17 RAM 3794/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [21%@1728,17%@1728,30%@1728,19%@1728,23%@960,25%@960] GR3D_FREQ 99% cpu@66.062C soc2@63.968C soc0@64.468C gpu@67.687C tj@67.687C soc1@63.656C VDD_IN 21534mW/20507mW VDD_CPU_GPU_CV 8211mW/7815mW VDD_SOC 7846mW/7391mW
09-01-2026 21:37:22 RAM 3768/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [25%@729,20%@729,21%@729,27%@729,24%@729,21%@729] GR3D_FREQ 99% cpu@66.25C soc2@64.312C soc0@64.812C gpu@68.281C tj@68.281C soc1@63.843C VDD_IN 22280mW/20566mW VDD_CPU_GPU_CV 8627mW/7842mW VDD_SOC 7990mW/7411mW
09-01-2026 21:37:27 RAM 3787/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [22%@729,27%@729,22%@729,19%@729,26%@806,23%@806] GR3D_FREQ 99% cpu@66.468C soc2@64.562C soc0@64.781C gpu@68.687C tj@68.687C soc1@64.031C VDD_IN 22477mW/20628mW VDD_CPU_GPU_CV 8901mW/7876mW VDD_SOC 7911mW/7427mW
09-01-2026 21:37:32 RAM 3786/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@1267,18%@1267,23%@1267,16%@1267,26%@729,33%@729] GR3D_FREQ 99% cpu@66.531C soc2@64.656C soc0@65.093C gpu@68.468C tj@68.468C soc1@64.312C VDD_IN 21887mW/20667mW VDD_CPU_GPU_CV 8368mW/7892mW VDD_SOC 7964mW/7444mW
09-01-2026 21:37:37 RAM 3787/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [26%@729,20%@729,22%@729,14%@729,30%@729,27%@729] GR3D_FREQ 99% cpu@66.781C soc2@64.843C soc0@65.25C gpu@68.593C tj@68.593C soc1@64.406C VDD_IN 22320mW/20717mW VDD_CPU_GPU_CV 8744mW/7918mW VDD_SOC 7951mW/7460mW
09-01-2026 21:37:42 RAM 3783/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [20%@1036,24%@1036,24%@1036,15%@1036,23%@1036,31%@1036] GR3D_FREQ 99% cpu@66.843C soc2@64.906C soc0@65.437C gpu@68.937C tj@68.937C soc1@64.625C VDD_IN 21927mW/20753mW VDD_CPU_GPU_CV 8485mW/7934mW VDD_SOC 7885mW/7472mW
09-01-2026 21:37:47 RAM 3772/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [23%@729,18%@729,21%@729,18%@729,30%@729,24%@729] GR3D_FREQ 99% cpu@67.125C soc2@65.156C soc0@65.5C gpu@68.718C tj@68.718C soc1@64.625C VDD_IN 22123mW/20792mW VDD_CPU_GPU_CV 8329mW/7946mW VDD_SOC 8029mW/7488mW
09-01-2026 21:37:52 RAM 3773/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [30%@729,31%@729,18%@729,15%@729,31%@729,20%@729] GR3D_FREQ 99% cpu@67.125C soc2@65.093C soc0@65.562C gpu@69.343C tj@69.343C soc1@64.812C VDD_IN 22438mW/20838mW VDD_CPU_GPU_CV 8901mW/7972mW VDD_SOC 7872mW/7499mW
09-01-2026 21:37:57 RAM 3783/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [23%@1190,25%@1190,24%@1190,17%@1190,25%@1574,26%@1574] GR3D_FREQ 80% cpu@67.156C soc2@65.25C soc0@65.812C gpu@69.156C tj@69.156C soc1@64.781C VDD_IN 22280mW/20877mW VDD_CPU_GPU_CV 8705mW/7992mW VDD_SOC 7990mW/7512mW
09-01-2026 21:38:02 RAM 3785/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [23%@729,28%@729,14%@729,14%@729,30%@729,24%@729] GR3D_FREQ 99% cpu@67.593C soc2@65.468C soc0@65.718C gpu@69.25C tj@69.25C soc1@64.937C VDD_IN 22162mW/20911mW VDD_CPU_GPU_CV 8393mW/8002mW VDD_SOC 8068mW/7527mW
09-01-2026 21:38:07 RAM 3786/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [28%@1036,25%@1036,20%@1036,17%@1036,25%@883,24%@883] GR3D_FREQ 99% cpu@67.25C soc2@65.468C soc0@65.843C gpu@69.656C tj@69.656C soc1@65.125C VDD_IN 22202mW/20944mW VDD_CPU_GPU_CV 8784mW/8022mW VDD_SOC 7833mW/7534mW
09-01-2026 21:38:12 RAM 3799/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [20%@960,31%@960,14%@960,20%@960,31%@1113,17%@1113] GR3D_FREQ 99% cpu@67.343C soc2@65.375C soc0@65.843C gpu@69.218C tj@69.218C soc1@65.062C VDD_IN 21652mW/20961mW VDD_CPU_GPU_CV 8250mW/8028mW VDD_SOC 7885mW/7543mW
09-01-2026 21:38:17 RAM 3797/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [23%@960,21%@960,18%@960,16%@960,28%@960,33%@960] GR3D_FREQ 99% cpu@67.25C soc2@65.562C soc0@65.937C gpu@69.593C tj@69.593C soc1@65.218C VDD_IN 21966mW/20986mW VDD_CPU_GPU_CV 8627mW/8043mW VDD_SOC 7794mW/7549mW
09-01-2026 21:38:22 RAM 3793/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@729,22%@729,27%@729,12%@729,27%@1574,25%@1574] GR3D_FREQ 99% cpu@67.593C soc2@65.656C soc0@66C gpu@69.875C tj@69.875C soc1@65.218C VDD_IN 22202mW/21015mW VDD_CPU_GPU_CV 8549mW/8055mW VDD_SOC 7990mW/7560mW
09-01-2026 21:38:27 RAM 3784/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [22%@729,27%@729,20%@729,14%@729,31%@729,24%@729] GR3D_FREQ 99% cpu@67.562C soc2@65.75C soc0@66.062C gpu@69.843C tj@69.843C soc1@65.25C VDD_IN 22241mW/21043mW VDD_CPU_GPU_CV 8784mW/8072mW VDD_SOC 7833mW/7566mW
09-01-2026 21:38:32 RAM 3789/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [26%@960,19%@960,32%@960,15%@960,31%@1113,17%@1113] GR3D_FREQ 99% cpu@67.625C soc2@65.718C soc0@66.25C gpu@69.843C tj@69.843C soc1@65.25C VDD_IN 22359mW/21073mW VDD_CPU_GPU_CV 8784mW/8088mW VDD_SOC 7951mW/7575mW
09-01-2026 21:38:37 RAM 3796/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [31%@1728,26%@1728,19%@1728,12%@1728,28%@729,19%@729] GR3D_FREQ 99% cpu@67.906C soc2@65.937C soc0@66.187C gpu@69.687C tj@69.687C soc1@65.437C VDD_IN 22280mW/21100mW VDD_CPU_GPU_CV 8627mW/8100mW VDD_SOC 7990mW/7584mW
09-01-2026 21:38:42 RAM 3785/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [26%@729,25%@729,18%@729,14%@729,27%@729,26%@729] GR3D_FREQ 99% cpu@67.5C soc2@65.75C soc0@66.468C gpu@70.156C tj@70.156C soc1@65.281C VDD_IN 22005mW/21120mW VDD_CPU_GPU_CV 8627mW/8111mW VDD_SOC 7755mW/7588mW
09-01-2026 21:38:47 RAM 3797/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [31%@1728,19%@1728,19%@1728,16%@1728,30%@1574,27%@1574] GR3D_FREQ 99% cpu@67.781C soc2@65.968C soc0@66.312C gpu@69.906C tj@69.906C soc1@65.5C VDD_IN 22162mW/21142mW VDD_CPU_GPU_CV 8627mW/8122mW VDD_SOC 7911mW/7595mW
09-01-2026 21:38:52 RAM 3793/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@1267,24%@1267,27%@1267,24%@1267,19%@1036,21%@1036] GR3D_FREQ 99% cpu@67.875C soc2@66.031C soc0@66.468C gpu@69.843C tj@69.843C soc1@65.5C VDD_IN 22045mW/21161mW VDD_CPU_GPU_CV 8432mW/8129mW VDD_SOC 7990mW/7603mW
09-01-2026 21:38:57 RAM 3784/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@729,20%@729,32%@729,20%@729,25%@729,13%@729] GR3D_FREQ 99% cpu@67.812C soc2@66C soc0@66.437C gpu@70C tj@70C soc1@65.531C VDD_IN 22362mW/21185mW VDD_CPU_GPU_CV 8862mW/8144mW VDD_SOC 7872mW/7608mW
09-01-2026 21:39:02 RAM 3789/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [25%@806,27%@806,26%@806,18%@806,27%@883,10%@883] GR3D_FREQ 99% cpu@67.75C soc2@66C soc0@66.468C gpu@70.468C tj@70.468C soc1@65.75C VDD_IN 22320mW/21208mW VDD_CPU_GPU_CV 8744mW/8156mW VDD_SOC 7911mW/7614mW
09-01-2026 21:39:07 RAM 3788/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@1190,32%@1190,25%@1190,15%@1190,28%@1113,12%@1113] GR3D_FREQ 99% cpu@68.125C soc2@66.156C soc0@66.437C gpu@70.343C tj@70.343C soc1@65.593C VDD_IN 22440mW/21232mW VDD_CPU_GPU_CV 8705mW/8167mW VDD_SOC 8029mW/7623mW
09-01-2026 21:39:12 RAM 3779/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [22%@729,22%@729,20%@729,18%@729,26%@1267,25%@1267] GR3D_FREQ 95% cpu@68.343C soc2@66.125C soc0@66.593C gpu@69.843C tj@69.843C soc1@65.718C VDD_IN 22241mW/21252mW VDD_CPU_GPU_CV 8393mW/8171mW VDD_SOC 8068mW/7631mW
09-01-2026 21:39:17 RAM 3778/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [29%@1190,30%@1190,27%@1190,16%@1190,29%@729,14%@729] GR3D_FREQ 99% cpu@68.031C soc2@66.093C soc0@66.593C gpu@70.187C tj@70.187C soc1@65.687C VDD_IN 22045mW/21267mW VDD_CPU_GPU_CV 8627mW/8180mW VDD_SOC 7833mW/7635mW
09-01-2026 21:39:22 RAM 3791/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [30%@729,25%@729,23%@729,15%@729,29%@960,8%@960] GR3D_FREQ 99% cpu@68.031C soc2@66.343C soc0@66.656C gpu@70.156C tj@70.156C soc1@65.781C VDD_IN 22362mW/21287mW VDD_CPU_GPU_CV 8666mW/8189mW VDD_SOC 7990mW/7642mW
09-01-2026 21:39:27 RAM 3971/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [28%@729,28%@729,25%@729,15%@729,28%@729,20%@729] GR3D_FREQ 99% cpu@68.312C soc2@66.312C soc0@66.687C gpu@70.031C tj@70.031C soc1@65.75C VDD_IN 22479mW/21309mW VDD_CPU_GPU_CV 8549mW/8195mW VDD_SOC 8186mW/7651mW
09-01-2026 21:39:32 RAM 3974/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [20%@729,28%@729,28%@729,15%@729,21%@1113,26%@1113] GR3D_FREQ 99% cpu@68.187C soc2@66.312C soc0@66.656C gpu@70.375C tj@70.625C soc1@65.843C VDD_IN 22084mW/21322mW VDD_CPU_GPU_CV 8666mW/8203mW VDD_SOC 7833mW/7655mW
