t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
14.1558,,,1,0,0,0,0,0,1
14.1918,,,0,0,0,0,0,0,0
14.2279,,,0,0,0,0,0,0,0
14.2632,,,0,0,0,0,0,0,0
14.2971,,,0,0,0,0,0,0,0
14.3335,,,0,0,0,0,0,0,0
14.3698,,,0,0,0,0,0,0,0
14.4061,,,0,0,0,0,0,0,0
14.4411,,,0,0,0,0,0,0,0
14.4775,,,0,0,0,0,0,0,0
14.5088,,,1,0,0,0,1,0,0
14.5434,,,0,0,0,0,0,0,0
14.5798,,,0,0,0,0,0,0,0
14.6163,,,0,0,0,0,0,0,0
14.651,,,0,0,0,0,0,0,0
14.6865,,,0,0,0,0,0,0,0
14.7215,,,0,0,0,0,0,0,0
14.7549,,,0,0,0,0,0,0,0
14.7892,,,0,0,0,0,0,0,0
14.8255,,,0,0,0,0,0,0,0
14.8618,,,0,0,0,0,0,0,0
14.898,,,0,0,0,0,0,0,0
14.9306,,,0,0,0,0,0,0,0
14.9667,,,0,0,0,0,0,0,0
15.0029,,,0,0,0,0,0,0,0
15.0373,,,0,0,0,0,0,0,0
15.0715,,,0,0,0,0,0,0,0
15.1033,,,0,0,0,0,0,0,0
15.1352,,,5,1,0,2,1,1,0
15.1676,,,30,11,0,14,5,0,0
15.2038,,,60,21,0,39,0,0,0
15.2401,,,98,11,0,85,1,0,1
15.2715,,,144,0,0,142,1,0,1
15.3044,,,146,0,0,145,0,1,0
15.3402,,,123,0,0,123,0,0,0
15.3763,,,82,3,0,78,0,0,1
15.4087,,,78,3,0,73,1,0,1
15.4413,,,96,13,0,81,1,1,0
15.4777,,,193,5,0,183,1,3,1
15.5138,,,276,18,1,251,3,3,0
15.5483,,,343,27,0,309,4,3,0
15.5798,,,260,4,0,251,3,1,1
15.6125,,,111,1,0,109,1,0,0
15.6481,,,76,0,0,70,3,2,1
15.6844,,,74,5,0,69,0,0,0
15.7206,,,16,3,1,7,3,1,1
15.7541,,,5,2,1,0,1,0,1
15.7899,,,4,1,1,0,2,0,0
15.8215,,,1,1,0,0,0,0,0
15.855,,,6,2,1,1,0,2,0
15.8914,,,5,2,1,1,0,0,1
15.9277,,,12,3,1,7,0,1,0
15.9637,,,18,5,1,10,0,1,1
