elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
687.8,2026-08-05T03:28:16.024936+00:00,arms,left_gripper,2014,37,0,0,2014,2014
687.8,2026-08-05T03:28:16.024936+00:00,arms,right_shoulder_pan,1960,38,1,1066,1974,1960
687.8,2026-08-05T03:28:16.024936+00:00,arms,right_shoulder_lift,2096,40,6,108,2049,2092
687.8,2026-08-05T03:28:16.024936+00:00,arms,right_elbow_flex,2128,40,3,76,2097,2126
687.8,2026-08-05T03:28:16.024936+00:00,arms,right_wrist_flex,1984,35,0,30,1976,1983
687.8,2026-08-05T03:28:16.024936+00:00,arms,right_wrist_roll,2112,34,1,1042,2114,2112
687.8,2026-08-05T03:28:16.024936+00:00,arms,right_gripper,2487,39,1,38,2475,2487
687.8,2026-08-05T03:28:16.024936+00:00,head,head_motor_1,2158,26,0,0,,
687.8,2026-08-05T03:28:16.024936+00:00,head,head_motor_2,1944,27,0,0,,
687.8,2026-08-05T03:28:16.024936+00:00,head,base_left_wheel,3450,26,0,0,,
687.8,2026-08-05T03:28:16.024936+00:00,head,base_back_wheel,3497,27,0,0,,
687.8,2026-08-05T03:28:16.024936+00:00,head,base_right_wheel,2174,27,0,0,,
688.8,2026-08-05T03:28:17.025992+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
688.8,2026-08-05T03:28:17.025992+00:00,arms,left_shoulder_lift,2407,37,4,84,2389,2406
688.8,2026-08-05T03:28:17.025992+00:00,arms,left_elbow_flex,1641,36,2,60,1629,1641
688.8,2026-08-05T03:28:17.025992+00:00,arms,left_wrist_flex,2174,35,0,32,2169,2174
688.8,2026-08-05T03:28:17.025992+00:00,arms,left_wrist_roll,1987,34,1,1044,1989,1987
688.8,2026-08-05T03:28:17.025992+00:00,arms,left_gripper,2014,37,0,0,2014,2014
688.8,2026-08-05T03:28:17.025992+00:00,arms,right_shoulder_pan,1960,38,1,1066,1974,1960
688.8,2026-08-05T03:28:17.025992+00:00,arms,right_shoulder_lift,2096,40,5,108,2049,2092
688.8,2026-08-05T03:28:17.025992+00:00,arms,right_elbow_flex,2128,40,3,76,2097,2126
688.8,2026-08-05T03:28:17.025992+00:00,arms,right_wrist_flex,1984,35,1,30,1976,1983
688.8,2026-08-05T03:28:17.025992+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
688.8,2026-08-05T03:28:17.025992+00:00,arms,right_gripper,2487,39,1,38,2475,2487
688.8,2026-08-05T03:28:17.025992+00:00,head,head_motor_1,2158,26,0,0,,
688.8,2026-08-05T03:28:17.025992+00:00,head,head_motor_2,1944,28,0,0,,
688.8,2026-08-05T03:28:17.025992+00:00,head,base_left_wheel,3450,26,0,0,,
688.8,2026-08-05T03:28:17.025992+00:00,head,base_back_wheel,3498,27,0,0,,
688.8,2026-08-05T03:28:17.025992+00:00,head,base_right_wheel,2174,27,0,0,,
689.8,2026-08-05T03:28:18.027041+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
689.8,2026-08-05T03:28:18.027041+00:00,arms,left_shoulder_lift,2407,37,4,84,2389,2406
689.8,2026-08-05T03:28:18.027041+00:00,arms,left_elbow_flex,1641,36,2,60,1629,1641
689.8,2026-08-05T03:28:18.027041+00:00,arms,left_wrist_flex,2174,35,0,32,2169,2174
689.8,2026-08-05T03:28:18.027041+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
