elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
37.783,2026-08-05T05:59:09.238770+00:00,left_elbow_flex,1629,1643,14,34,3,68
37.783,2026-08-05T05:59:09.238770+00:00,left_wrist_flex,2169,2172,3,34,0,24
37.783,2026-08-05T05:59:09.238770+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
37.783,2026-08-05T05:59:09.238770+00:00,left_gripper,2014,2014,0,37,0,0
37.783,2026-08-05T05:59:09.238770+00:00,right_shoulder_pan,1777,1787,10,37,1,30
37.783,2026-08-05T05:59:09.238770+00:00,right_shoulder_lift,2032,2174,142,38,44,298
37.783,2026-08-05T05:59:09.238770+00:00,right_elbow_flex,2097,2134,37,37,4,88
37.783,2026-08-05T05:59:09.238770+00:00,right_wrist_flex,1976,1991,15,35,1,44
37.783,2026-08-05T05:59:09.238770+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
37.783,2026-08-05T05:59:09.238770+00:00,right_gripper,2455,2463,8,38,1,30
37.833,2026-08-05T05:59:09.288548+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
37.833,2026-08-05T05:59:09.288548+00:00,left_shoulder_lift,2389,2404,15,36,3,72
37.833,2026-08-05T05:59:09.288548+00:00,left_elbow_flex,1629,1643,14,34,3,68
37.833,2026-08-05T05:59:09.288548+00:00,left_wrist_flex,2169,2172,3,34,0,24
37.833,2026-08-05T05:59:09.288548+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
37.833,2026-08-05T05:59:09.288548+00:00,left_gripper,2014,2014,0,36,0,0
37.833,2026-08-05T05:59:09.288548+00:00,right_shoulder_pan,1776,1785,9,37,1,32
37.833,2026-08-05T05:59:09.288548+00:00,right_shoulder_lift,2036,2174,138,38,41,290
37.833,2026-08-05T05:59:09.288548+00:00,right_elbow_flex,2097,2134,37,37,4,88
37.833,2026-08-05T05:59:09.288548+00:00,right_wrist_flex,1976,1991,15,35,1,44
37.833,2026-08-05T05:59:09.288548+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
37.833,2026-08-05T05:59:09.288548+00:00,right_gripper,2455,2463,8,38,1,30
37.883,2026-08-05T05:59:09.340142+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
37.883,2026-08-05T05:59:09.340142+00:00,left_shoulder_lift,2389,2404,15,36,3,72
37.883,2026-08-05T05:59:09.340142+00:00,left_elbow_flex,1629,1643,14,34,3,68
37.883,2026-08-05T05:59:09.340142+00:00,left_wrist_flex,2169,2172,3,34,1,24
37.883,2026-08-05T05:59:09.340142+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
37.883,2026-08-05T05:59:09.340142+00:00,left_gripper,2014,2014,0,37,0,0
37.883,2026-08-05T05:59:09.340142+00:00,right_shoulder_pan,1775,1784,9,37,1,28
37.883,2026-08-05T05:59:09.340142+00:00,right_shoulder_lift,2040,2174,134,38,32,282
37.883,2026-08-05T05:59:09.340142+00:00,right_elbow_flex,2097,2134,37,37,4,88
37.883,2026-08-05T05:59:09.340142+00:00,right_wrist_flex,1976,1991,15,35,1,44
37.883,2026-08-05T05:59:09.340142+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
37.883,2026-08-05T05:59:09.340142+00:00,right_gripper,2455,2463,8,38,1,30
37.934,2026-08-05T05:59:09.390077+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
37.934,2026-08-05T05:59:09.390077+00:00,left_shoulder_lift,2389,2404,15,36,3,72
37.934,2026-08-05T05:59:09.390077+00:00,left_elbow_flex,1629,1643,14,34,3,68
37.934,2026-08-05T05:59:09.390077+00:00,left_wrist_flex,2169,2172,3,34,0,24
37.934,2026-08-05T05:59:09.390077+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
37.934,2026-08-05T05:59:09.390077+00:00,left_gripper,2014,2014,0,36,0,0
37.934,2026-08-05T05:59:09.390077+00:00,right_shoulder_pan,1774,1784,10,37,1,38
37.934,2026-08-05T05:59:09.390077+00:00,right_shoulder_lift,2044,2174,130,38,34,278
37.934,2026-08-05T05:59:09.390077+00:00,right_elbow_flex,2097,2134,37,37,4,88
37.934,2026-08-05T05:59:09.390077+00:00,right_wrist_flex,1976,1991,15,35,2,44
37.934,2026-08-05T05:59:09.390077+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
