You have video processor config saved in `preprocessor.json` file which is deprecated. Video processor configs should be saved in their own `video_preprocessor.json` file. You can rename the file or load and save the processor back which renames it automatically. Loading from `preprocessor.json` will be removed in v5.0.
[12:40:04] Device: cuda
[12:40:04] Loading 'rlodhi/smolvla_screw_picking_5000' …
Reducing the number of VLM layers to 16 ...
[12:40:36] Policy ready on cuda (fp16)
[12:40:36] chunk_size=50, n_action_steps=50, num_steps=2
[12:40:36] resize_imgs=(512, 512)
[12:40:36] Image keys : ['observation.images.base', 'observation.images.wrist']
[12:40:36] Action dim : 6
[12:40:36] Task       : 'pick up the object and place it in the box'
[12:40:36] Camera /dev/video2 opened at 424×240
[12:40:36] SW resize   : 424×240 → 320×240

[12:40:36] Warming up for 5 steps, then benchmarking for 60s …

[12:41:04] #   75 [bench] e2e=  359.3ms  infer=  357.1ms  cap=  2.0ms
[12:41:04] #   76 [bench] e2e=  365.1ms  infer=  363.0ms  cap=  2.0ms
[12:41:05] #   77 [bench] e2e=  361.7ms  infer=  359.4ms  cap=  2.1ms
[12:41:05] #   78 [bench] e2e=  360.2ms  infer=  357.3ms  cap=  2.6ms
[12:41:05] #   79 [bench] e2e=  366.6ms  infer=  365.0ms  cap=  1.5ms
[12:41:06] #   80 [bench] e2e=  361.8ms  infer=  360.1ms  cap=  1.5ms
[12:41:06] #   81 [bench] e2e=  359.7ms  infer=  358.1ms  cap=  1.5ms
[12:41:06] #   82 [bench] e2e=  360.3ms  infer=  358.6ms  cap=  1.5ms
[12:41:07] #   83 [bench] e2e=  359.0ms  infer=  357.3ms  cap=  1.5ms
[12:41:07] #   84 [bench] e2e=  357.6ms  infer=  355.9ms  cap=  1.5ms
[12:41:07] #   85 [bench] e2e=  363.9ms  infer=  362.2ms  cap=  1.5ms

  [live] after 80 bench steps — e2e mean=361.5ms  |  max replan freq=2.77 Hz  |  max control freq=138.33 Hz (n_action_steps=50)

[12:41:08] #   86 [bench] e2e=  360.6ms  infer=  359.0ms  cap=  1.5ms
[12:41:08] #   87 [bench] e2e=  359.2ms  infer=  357.6ms  cap=  1.5ms
[12:41:09] #   88 [bench] e2e=  356.7ms  infer=  355.1ms  cap=  1.5ms
[12:41:09] #   89 [bench] e2e=  364.3ms  infer=  362.7ms  cap=  1.5ms
[12:41:09] #   90 [bench] e2e=  363.3ms  infer=  360.6ms  cap=  2.5ms
[12:41:10] #   91 [bench] e2e=  361.4ms  infer=  358.4ms  cap=  2.9ms
[12:41:10] #   92 [bench] e2e=  360.7ms  infer=  357.4ms  cap=  3.1ms
[12:41:10] #   93 [bench] e2e=  366.8ms  infer=  363.5ms  cap=  3.1ms
[12:41:11] #   94 [bench] e2e=  367.7ms  infer=  364.6ms  cap=  2.9ms
[12:41:11] #   95 [bench] e2e=  365.0ms  infer=  361.8ms  cap=  3.0ms
[12:41:11] #   96 [bench] e2e=  362.4ms  infer=  360.1ms  cap=  2.2ms
[12:41:12] #   97 [bench] e2e=  369.0ms  infer=  365.4ms  cap=  3.3ms
[12:41:12] #   98 [bench] e2e=  365.8ms  infer=  363.2ms  cap=  2.5ms
[12:41:13] #   99 [bench] e2e=  363.7ms  infer=  360.7ms  cap=  2.8ms
[12:41:13] #  100 [bench] e2e=  363.2ms  infer=  360.2ms  cap=  2.8ms
[12:41:13] #  101 [bench] e2e=  365.3ms  infer=  361.6ms  cap=  3.5ms
[12:41:14] #  102 [bench] e2e=  361.7ms  infer=  359.0ms  cap=  2.5ms
[12:41:14] #  103 [bench] e2e=  363.2ms  infer=  360.6ms  cap=  2.4ms
[12:41:14] #  104 [bench] e2e=  360.5ms  infer=  358.1ms  cap=  2.2ms
[12:41:15] #  105 [bench] e2e=  358.7ms  infer=  355.4ms  cap=  3.1ms

  [live] after 100 bench steps — e2e mean=361.8ms  |  max replan freq=2.76 Hz  |  max control freq=138.21 Hz (n_action_steps=50)

[12:41:15] #  106 [bench] e2e=  371.4ms  infer=  368.2ms  cap=  3.1ms
[12:41:15] #  107 [bench] e2e=  366.2ms  infer=  363.1ms  cap=  3.0ms
[12:41:16] #  108 [bench] e2e=  362.4ms  infer=  359.2ms  cap=  3.0ms
[12:41:16] #  109 [bench] e2e=  366.3ms  infer=  362.5ms  cap=  3.5ms
[12:41:17] #  110 [bench] e2e=  359.8ms  infer=  356.5ms  cap=  3.2ms
[12:41:17] #  111 [bench] e2e=  358.3ms  infer=  355.6ms  cap=  2.6ms
