elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
14.4281,2026-08-28T03:27:45.233313+00:00,5072,808,7,enable_left_wrist_roll
14.4294,2026-08-28T03:27:45.234649+00:00,5072,808,7,enable_left_wrist_roll
14.4309,2026-08-28T03:27:45.236141+00:00,5072,808,7,enable_left_wrist_roll
14.4324,2026-08-28T03:27:45.237619+00:00,5072,808,7,enable_left_wrist_roll
14.4339,2026-08-28T03:27:45.239093+00:00,5072,808,7,enable_left_wrist_roll
14.4354,2026-08-28T03:27:45.240570+00:00,5072,808,7,enable_left_wrist_roll
14.4368,2026-08-28T03:27:45.242022+00:00,5072,808,7,enable_left_wrist_roll
14.4382,2026-08-28T03:27:45.243380+00:00,5072,808,7,enable_left_wrist_roll
14.4394,2026-08-28T03:27:45.244638+00:00,5072,808,7,enable_left_wrist_roll
14.4407,2026-08-28T03:27:45.245896+00:00,5072,808,7,enable_left_wrist_roll
14.4420,2026-08-28T03:27:45.247173+00:00,5072,808,7,enable_left_wrist_roll
14.4432,2026-08-28T03:27:45.248436+00:00,5072,808,7,enable_left_wrist_roll
14.4445,2026-08-28T03:27:45.249693+00:00,5072,808,7,enable_left_wrist_roll
14.4457,2026-08-28T03:27:45.250949+00:00,5072,808,7,enable_left_wrist_roll
14.4472,2026-08-28T03:27:45.252424+00:00,5072,808,7,enable_left_wrist_roll
14.4487,2026-08-28T03:27:45.253889+00:00,5072,808,7,enable_left_wrist_roll
14.4502,2026-08-28T03:27:45.255402+00:00,5072,808,7,enable_left_wrist_roll
14.4517,2026-08-28T03:27:45.256884+00:00,5072,808,7,enable_left_wrist_roll
14.4531,2026-08-28T03:27:45.258353+00:00,5072,808,7,enable_left_wrist_roll
14.4546,2026-08-28T03:27:45.259826+00:00,5072,808,7,enable_left_wrist_roll
14.4559,2026-08-28T03:27:45.261120+00:00,5072,808,7,enable_left_wrist_roll
14.4572,2026-08-28T03:27:45.262375+00:00,5072,808,7,enable_left_wrist_roll
14.4584,2026-08-28T03:27:45.263634+00:00,5072,808,7,enable_left_wrist_roll
14.4597,2026-08-28T03:27:45.264896+00:00,5072,808,7,enable_left_wrist_roll
14.4610,2026-08-28T03:27:45.266177+00:00,5072,808,7,enable_left_wrist_roll
14.4622,2026-08-28T03:27:45.267437+00:00,5072,808,7,enable_left_wrist_roll
14.4635,2026-08-28T03:27:45.268692+00:00,5072,808,7,enable_left_wrist_roll
14.4649,2026-08-28T03:27:45.270160+00:00,5072,808,7,enable_left_wrist_roll
14.4664,2026-08-28T03:27:45.271635+00:00,5072,808,7,enable_left_wrist_roll
14.4679,2026-08-28T03:27:45.273110+00:00,5072,808,7,enable_left_wrist_roll
14.4694,2026-08-28T03:27:45.274582+00:00,5072,808,7,enable_left_wrist_roll
14.4708,2026-08-28T03:27:45.276059+00:00,5072,808,7,enable_left_wrist_roll
14.4723,2026-08-28T03:27:45.277537+00:00,5072,808,7,enable_left_wrist_roll
14.4738,2026-08-28T03:27:45.279025+00:00,5072,808,7,enable_left_wrist_roll
14.4751,2026-08-28T03:27:45.280323+00:00,5072,808,7,enable_left_wrist_roll
14.4764,2026-08-28T03:27:45.281579+00:00,5072,808,7,enable_left_wrist_roll
14.4776,2026-08-28T03:27:45.282837+00:00,5072,808,7,enable_left_wrist_roll
14.4789,2026-08-28T03:27:45.284097+00:00,5072,808,7,enable_left_wrist_roll
14.4801,2026-08-28T03:27:45.285354+00:00,5072,808,7,enable_left_wrist_roll
14.4814,2026-08-28T03:27:45.286612+00:00,5072,808,7,enable_left_wrist_roll
14.4827,2026-08-28T03:27:45.287905+00:00,5072,808,7,enable_left_wrist_roll
14.4842,2026-08-28T03:27:45.289379+00:00,5072,808,7,enable_left_wrist_roll
14.4856,2026-08-28T03:27:45.290851+00:00,5072,808,7,enable_left_wrist_roll
14.4871,2026-08-28T03:27:45.292331+00:00,5072,808,7,enable_left_wrist_roll
14.4886,2026-08-28T03:27:45.293798+00:00,5072,808,7,enable_left_wrist_roll
14.4901,2026-08-28T03:27:45.295325+00:00,5072,808,7,enable_left_wrist_roll
14.4914,2026-08-28T03:27:45.296630+00:00,5072,808,7,enable_left_wrist_roll
14.4927,2026-08-28T03:27:45.297892+00:00,5072,808,7,enable_left_wrist_roll
14.4939,2026-08-28T03:27:45.299151+00:00,5072,808,7,enable_left_wrist_roll
14.4952,2026-08-28T03:27:45.300416+00:00,5072,808,7,enable_left_wrist_roll
14.4965,2026-08-28T03:27:45.301673+00:00,5072,808,7,enable_left_wrist_roll
14.4977,2026-08-28T03:27:45.302936+00:00,5072,808,7,enable_left_wrist_roll
14.4990,2026-08-28T03:27:45.304218+00:00,5072,808,7,enable_left_wrist_roll
14.5004,2026-08-28T03:27:45.305592+00:00,5072,808,7,enable_left_wrist_roll
14.5018,2026-08-28T03:27:45.307066+00:00,5072,808,7,enable_left_wrist_roll
14.5033,2026-08-28T03:27:45.308552+00:00,5072,808,7,enable_left_wrist_roll
14.5048,2026-08-28T03:27:45.310024+00:00,5072,808,7,enable_left_wrist_roll
14.5063,2026-08-28T03:27:45.311525+00:00,5072,808,7,enable_left_wrist_roll
14.5077,2026-08-28T03:27:45.312935+00:00,5072,808,7,enable_left_wrist_roll
14.5090,2026-08-28T03:27:45.314239+00:00,5072,808,7,enable_left_wrist_roll
14.5103,2026-08-28T03:27:45.315506+00:00,5072,808,7,enable_left_wrist_roll
14.5116,2026-08-28T03:27:45.316769+00:00,5072,808,7,enable_left_wrist_roll
14.5128,2026-08-28T03:27:45.318031+00:00,5072,808,7,enable_left_wrist_roll
14.5141,2026-08-28T03:27:45.319292+00:00,5072,808,7,enable_left_wrist_roll
14.5153,2026-08-28T03:27:45.320554+00:00,5072,808,7,enable_left_wrist_roll
14.5166,2026-08-28T03:27:45.321811+00:00,5072,808,7,enable_left_wrist_roll
14.5180,2026-08-28T03:27:45.323189+00:00,5072,808,7,enable_left_wrist_roll
14.5195,2026-08-28T03:27:45.324671+00:00,5072,808,7,enable_left_wrist_roll
14.5209,2026-08-28T03:27:45.326139+00:00,5072,808,7,enable_left_wrist_roll
