t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
8.0248,,,25,0,8,15,1,1,0
8.0611,,,21,0,9,10,0,2,0
8.0967,,,21,1,8,8,1,3,0
8.1287,,,24,0,9,10,2,2,1
8.1618,,,22,0,9,8,1,3,1
8.1967,,,7,1,0,0,1,4,1
8.23,,,2,0,0,0,0,2,0
8.2662,,,7,0,1,0,1,5,0
8.3024,,,8,0,1,1,1,4,1
8.3387,,,9,1,1,2,1,4,0
8.3749,,,8,0,1,1,2,3,1
8.411,,,4,1,1,0,1,0,1
8.4467,,,3,0,1,0,1,0,1
8.481,,,3,1,1,0,1,0,0
8.5133,,,4,1,1,0,1,0,1
8.5485,,,3,0,1,0,1,0,1
8.5837,,,4,1,1,0,1,0,1
8.6199,,,3,0,1,1,1,0,0
8.6551,,,3,0,1,0,1,0,1
8.6894,,,3,0,1,1,1,0,0
8.7258,,,5,0,2,1,1,0,1
8.762,,,4,1,1,1,1,0,0
8.7981,,,3,0,1,1,1,0,0
8.8337,,,4,0,1,0,1,1,1
8.8656,,,5,1,1,1,1,0,1
8.9007,,,6,1,1,1,1,1,1
8.9368,,,2,0,1,0,1,0,0
8.968,,,4,0,1,1,1,1,0
9.003,,,4,0,1,1,1,1,0
9.0383,,,3,1,1,1,0,0,0
9.0733,,,56,21,10,11,13,1,0
9.105,,,123,50,25,19,25,3,1
9.1377,,,66,28,10,11,12,4,1
9.1728,,,48,21,8,7,8,4,0
9.209,,,51,23,8,7,7,6,0
9.2437,,,44,23,8,6,0,6,1
9.2799,,,47,22,8,7,0,9,1
9.3157,,,47,22,8,7,2,7,1
9.3516,,,44,22,7,5,2,8,0
9.3878,,,51,24,8,5,1,12,1
9.4193,,,49,25,7,3,1,13,0
9.4541,,,47,25,7,4,1,10,0
9.4891,,,38,19,5,3,1,9,1
9.5221,,,47,25,7,3,1,10,1
9.5566,,,43,22,8,2,1,10,0
9.5883,,,41,22,8,0,0,10,1
9.6246,,,21,5,7,0,1,8,0
9.6561,,,22,8,6,0,1,7,0
9.6923,,,20,11,0,0,0,9,0
9.7254,,,25,11,1,1,1,11,0
9.7569,,,20,8,0,2,0,10,0
9.7932,,,19,7,1,1,0,10,0
9.8256,,,18,6,0,1,1,9,1
9.8595,,,19,7,0,1,0,10,1
9.8957,,,18,8,0,1,0,9,0
9.9315,,,23,9,1,0,1,12,0
9.9657,,,24,8,1,1,1,12,1
9.9971,,,13,7,1,1,0,4,0
10.0334,,,12,10,0,1,1,0,0
10.0695,,,7,5,1,0,0,1,0
10.105,,,9,7,0,0,1,1,0
10.1383,,,12,8,0,1,0,2,1
10.1735,,,14,7,1,1,1,3,1
10.2056,,,13,7,0,2,1,2,1
10.2418,,,10,7,0,1,1,1,0
10.2779,,,13,7,1,1,1,2,1
10.3141,,,11,7,0,1,1,2,0
10.3487,,,13,7,0,2,1,2,1
10.3849,,,11,6,0,1,1,2,1
10.4211,,,10,7,0,1,0,2,0
10.4529,,,12,7,1,1,1,1,1
10.4888,,,9,6,0,1,1,1,0
10.5244,,,9,6,0,0,1,2,0
10.56,,,18,0,4,10,3,1,0
10.5947,,,82,9,18,33,20,1,1
10.6308,,,87,10,13,32,30,1,1
10.6666,,,54,0,8,22,21,2,1
10.7027,,,42,0,8,19,11,3,1
10.7385,,,39,0,8,23,6,2,0
10.7717,,,30,0,8,20,0,2,0
