08-05-2026 00:04:57 RAM 3071/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,1%@1728,90%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@53.218C soc2@50.656C soc0@52.187C gpu@53.218C tj@53.218C soc1@52.25C VDD_IN 9094mW/7506mW VDD_CPU_GPU_CV 2360mW/1595mW VDD_SOC 3685mW/3294mW
08-05-2026 00:04:58 RAM 3071/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,90%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 40% cpu@52.937C soc2@50.718C soc0@52.312C gpu@53.25C tj@53.25C soc1@52.312C VDD_IN 9094mW/7537mW VDD_CPU_GPU_CV 2400mW/1611mW VDD_SOC 3645mW/3301mW
08-05-2026 00:04:59 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,1%@1728,90%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 36% cpu@53.093C soc2@50.75C soc0@52.343C gpu@53.312C tj@53.312C soc1@52.218C VDD_IN 9174mW/7569mW VDD_CPU_GPU_CV 2360mW/1625mW VDD_SOC 3645mW/3307mW
08-05-2026 00:05:00 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [78%@1728,0%@1728,13%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@52.906C soc2@50.812C soc0@52.343C gpu@53.343C tj@53.343C soc1@52.312C VDD_IN 9054mW/7597mW VDD_CPU_GPU_CV 2320mW/1639mW VDD_SOC 3685mW/3315mW
08-05-2026 00:05:01 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [91%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 36% cpu@52.937C soc2@50.937C soc0@52.312C gpu@53.531C tj@53.281C soc1@52.312C VDD_IN 9054mW/7624mW VDD_CPU_GPU_CV 2360mW/1652mW VDD_SOC 3645mW/3321mW
08-05-2026 00:05:02 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [90%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 38% cpu@53.093C soc2@50.937C soc0@52.312C gpu@53.25C tj@53.25C soc1@52.531C VDD_IN 9014mW/7649mW VDD_CPU_GPU_CV 2360mW/1665mW VDD_SOC 3645mW/3327mW
08-05-2026 00:05:03 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [91%@1728,0%@1728,1%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@52.875C soc2@50.968C soc0@52.562C gpu@53.375C tj@53.375C soc1@52.718C VDD_IN 9054mW/7674mW VDD_CPU_GPU_CV 2360mW/1677mW VDD_SOC 3685mW/3333mW
08-05-2026 00:05:04 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [17%@1728,0%@1728,73%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 38% cpu@53.406C soc2@51.031C soc0@52.656C gpu@53.5C tj@53.5C soc1@52.531C VDD_IN 9094mW/7699mW VDD_CPU_GPU_CV 2400mW/1690mW VDD_SOC 3685mW/3339mW
08-05-2026 00:05:05 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [74%@1728,0%@1728,17%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@53.062C soc2@51.062C soc0@52.875C gpu@53.562C tj@53.562C soc1@52.531C VDD_IN 9094mW/7723mW VDD_CPU_GPU_CV 2400mW/1702mW VDD_SOC 3685mW/3345mW
08-05-2026 00:05:06 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [92%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@53.156C soc2@51.125C soc0@52.718C gpu@53.593C tj@53.593C soc1@52.625C VDD_IN 9134mW/7747mW VDD_CPU_GPU_CV 2400mW/1714mW VDD_SOC 3685mW/3351mW
08-05-2026 00:05:07 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [90%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 36% cpu@53.375C soc2@51.25C soc0@52.781C gpu@53.656C tj@53.656C soc1@52.718C VDD_IN 9134mW/7770mW VDD_CPU_GPU_CV 2400mW/1725mW VDD_SOC 3685mW/3356mW
08-05-2026 00:05:08 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [91%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@53.218C soc2@51.281C soc0@52.843C gpu@53.687C tj@53.687C soc1@52.843C VDD_IN 9134mW/7793mW VDD_CPU_GPU_CV 2400mW/1736mW VDD_SOC 3685mW/3362mW
08-05-2026 00:05:09 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [91%@1728,0%@1728,0%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 36% cpu@53.375C soc2@51.406C soc0@52.906C gpu@53.718C tj@53.718C soc1@52.812C VDD_IN 9174mW/7815mW VDD_CPU_GPU_CV 2400mW/1747mW VDD_SOC 3685mW/3367mW
08-05-2026 00:05:10 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [90%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@53.375C soc2@51.343C soc0@52.968C gpu@53.718C tj@53.718C soc1@52.843C VDD_IN 9134mW/7836mW VDD_CPU_GPU_CV 2440mW/1758mW VDD_SOC 3685mW/3372mW
08-05-2026 00:05:11 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [91%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@53.437C soc2@51.437C soc0@52.937C gpu@54.125C tj@54.125C soc1@52.937C VDD_IN 9134mW/7856mW VDD_CPU_GPU_CV 2440mW/1769mW VDD_SOC 3685mW/3377mW
08-05-2026 00:05:12 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [90%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@53.625C soc2@51.468C soc0@52.968C gpu@54.25C tj@54.25C soc1@53C VDD_IN 9174mW/7876mW VDD_CPU_GPU_CV 2440mW/1779mW VDD_SOC 3645mW/3381mW
08-05-2026 00:05:13 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [91%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 37% cpu@53.375C soc2@51.562C soc0@53.156C gpu@54.343C tj@54.343C soc1@53.125C VDD_IN 9214mW/7897mW VDD_CPU_GPU_CV 2440mW/1789mW VDD_SOC 3685mW/3386mW
08-05-2026 00:05:14 RAM 3070/7620MB (lfb 22x4MB) SWAP 0/3810MB (cached 0MB) CPU [91%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 39% cpu@53.843C soc2@51.562C soc0@53.187C gpu@53.937C tj@53.937C soc1@53.156C VDD_IN 9214mW/7916mW VDD_CPU_GPU_CV 2480mW/1799mW VDD_SOC 3685mW/3390mW
