elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
522.6,2026-08-03T23:40:49.642533+00:00,arms,left_elbow_flex,1645,36,4,76,1629,1645
522.6,2026-08-03T23:40:49.642533+00:00,arms,left_wrist_flex,2171,35,0,20,2169,2171
522.6,2026-08-03T23:40:49.642533+00:00,arms,left_wrist_roll,1987,34,1,1044,1989,1987
522.6,2026-08-03T23:40:49.642533+00:00,arms,left_gripper,2014,37,0,0,2014,2014
522.6,2026-08-03T23:40:49.642533+00:00,arms,right_shoulder_pan,1977,37,1,20,1974,1977
522.6,2026-08-03T23:40:49.642533+00:00,arms,right_shoulder_lift,2130,45,12,176,2049,2128
522.6,2026-08-03T23:40:49.642533+00:00,arms,right_elbow_flex,2139,42,6,98,2097,2136
522.6,2026-08-03T23:40:49.642533+00:00,arms,right_wrist_flex,1998,36,2,58,1976,1997
522.6,2026-08-03T23:40:49.642533+00:00,arms,right_wrist_roll,2109,33,1,1048,2114,2109
522.6,2026-08-03T23:40:49.642533+00:00,arms,right_gripper,2073,37,0,0,2073,2073
522.6,2026-08-03T23:40:49.642533+00:00,head,head_motor_1,2158,31,0,0,,
522.6,2026-08-03T23:40:49.642533+00:00,head,head_motor_2,1944,32,0,0,,
522.6,2026-08-03T23:40:49.642533+00:00,head,base_left_wheel,3461,33,0,0,,
522.6,2026-08-03T23:40:49.642533+00:00,head,base_back_wheel,3491,34,0,0,,
522.6,2026-08-03T23:40:49.642533+00:00,head,base_right_wheel,2182,32,0,0,,
523.6,2026-08-03T23:40:50.643575+00:00,arms,left_shoulder_pan,1859,37,0,20,1857,1859
523.6,2026-08-03T23:40:50.643575+00:00,arms,left_shoulder_lift,2403,35,3,68,2389,2402
523.6,2026-08-03T23:40:50.643575+00:00,arms,left_elbow_flex,1645,37,3,76,1629,1645
523.6,2026-08-03T23:40:50.643575+00:00,arms,left_wrist_flex,2171,35,0,20,2169,2171
523.6,2026-08-03T23:40:50.643575+00:00,arms,left_wrist_roll,1987,34,1,1044,1989,1987
523.6,2026-08-03T23:40:50.643575+00:00,arms,left_gripper,2014,37,0,0,2014,2014
523.6,2026-08-03T23:40:50.643575+00:00,arms,right_shoulder_pan,1977,37,0,20,1974,1977
523.6,2026-08-03T23:40:50.643575+00:00,arms,right_shoulder_lift,2130,45,12,176,2049,2128
523.6,2026-08-03T23:40:50.643575+00:00,arms,right_elbow_flex,2139,41,6,98,2097,2136
523.6,2026-08-03T23:40:50.643575+00:00,arms,right_wrist_flex,1998,35,2,58,1976,1997
523.6,2026-08-03T23:40:50.643575+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
523.6,2026-08-03T23:40:50.643575+00:00,arms,right_gripper,2073,37,0,0,2073,2073
523.6,2026-08-03T23:40:50.643575+00:00,head,head_motor_1,2158,31,0,0,,
523.6,2026-08-03T23:40:50.643575+00:00,head,head_motor_2,1944,32,0,0,,
523.6,2026-08-03T23:40:50.643575+00:00,head,base_left_wheel,3461,33,0,0,,
523.6,2026-08-03T23:40:50.643575+00:00,head,base_back_wheel,3491,34,0,0,,
523.6,2026-08-03T23:40:50.643575+00:00,head,base_right_wheel,2182,32,0,0,,
524.6,2026-08-03T23:40:51.644650+00:00,arms,left_shoulder_pan,1859,37,0,20,1857,1859
524.6,2026-08-03T23:40:51.644650+00:00,arms,left_shoulder_lift,2403,35,3,68,2389,2402
524.6,2026-08-03T23:40:51.644650+00:00,arms,left_elbow_flex,1645,36,3,76,1629,1645
524.6,2026-08-03T23:40:51.644650+00:00,arms,left_wrist_flex,2171,34,1,20,2169,2171
524.6,2026-08-03T23:40:51.644650+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
524.6,2026-08-03T23:40:51.644650+00:00,arms,left_gripper,2014,37,0,0,2014,2014
524.6,2026-08-03T23:40:51.644650+00:00,arms,right_shoulder_pan,1977,37,1,20,1974,1977
524.6,2026-08-03T23:40:51.644650+00:00,arms,right_shoulder_lift,2130,45,13,176,2049,2128
524.6,2026-08-03T23:40:51.644650+00:00,arms,right_elbow_flex,2139,41,6,98,2097,2136
524.6,2026-08-03T23:40:51.644650+00:00,arms,right_wrist_flex,1998,36,2,58,1976,1997
524.6,2026-08-03T23:40:51.644650+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
524.6,2026-08-03T23:40:51.644650+00:00,arms,right_gripper,2073,37,0,0,2073,2073
524.6,2026-08-03T23:40:51.644650+00:00,head,head_motor_1,2158,31,0,0,,
524.6,2026-08-03T23:40:51.644650+00:00,head,head_motor_2,1944,32,0,0,,
524.6,2026-08-03T23:40:51.644650+00:00,head,base_left_wheel,3461,33,0,0,,
524.6,2026-08-03T23:40:51.644650+00:00,head,base_back_wheel,3491,34,0,0,,
524.6,2026-08-03T23:40:51.644650+00:00,head,base_right_wheel,2182,32,0,0,,
525.6,2026-08-03T23:40:52.645717+00:00,arms,left_shoulder_pan,1859,37,1,20,1857,1859
525.6,2026-08-03T23:40:52.645717+00:00,arms,left_shoulder_lift,2403,36,3,68,2389,2402
525.6,2026-08-03T23:40:52.645717+00:00,arms,left_elbow_flex,1645,36,3,76,1629,1645
525.6,2026-08-03T23:40:52.645717+00:00,arms,left_wrist_flex,2171,34,0,20,2169,2171
525.6,2026-08-03T23:40:52.645717+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
525.6,2026-08-03T23:40:52.645717+00:00,arms,left_gripper,2014,37,0,0,2014,2014
525.6,2026-08-03T23:40:52.645717+00:00,arms,right_shoulder_pan,1977,37,0,20,1974,1977
525.6,2026-08-03T23:40:52.645717+00:00,arms,right_shoulder_lift,2130,45,12,176,2049,2128
525.6,2026-08-03T23:40:52.645717+00:00,arms,right_elbow_flex,2139,42,6,98,2097,2136
525.6,2026-08-03T23:40:52.645717+00:00,arms,right_wrist_flex,1998,36,1,58,1976,1997
