ep,capx,capy,caparea,bx,by,area,w,h,onset,arrive,grasp,length,grasp_pan,grasp_lift,grasp_elbow,grasp_wflex,grasp_wroll,grasp_grip
20,407.49009247027743,244.2879788639366,1514,381.66766967569373,347.0,2991,96,104,50,157,223,360,23.598819732666016,36.68885040283203,63.9729118347168,-69.08705139160156,39.0476188659668,47.84075546264648
21,512.9005439005439,236.02331002331002,1287,468.9801412180053,344.0,4532,105,105,51,171,260,397,31.489675521850582,55.1580696105957,37.96839904785156,-81.14649963378906,38.998779296875,47.77328109741211
22,478.73175965665234,348.46620171673817,1864,436.89388087009553,435.0,4919,100,115,59,123,214,367,36.8731575012207,6.821963310241699,78.78103637695312,-40.891719818115234,39.0476188659668,47.908233642578125
23,,,0,,,0,0,0,50,239,301,442,-24.11504364013672,66.6389389038086,-0.2257336378097534,-55.41401290893555,39.38949966430664,47.84075546264648
24,33.59657701711492,62.779951100244496,409,74.90555703980765,200.0,7486,142,134,35,116,194,333,-15.781710624694824,57.15474319458008,19.277652740478516,-61.35881042480469,39.0476188659668,47.9757080078125
25,133.87723214285714,47.68080357142857,448,107.10311674590596,200.0,18930,212,147,43,118,184,320,-7.66961669921875,55.24126434326172,13.860045433044434,-49.29936218261719,38.998779296875,47.9757080078125
26,268.046875,52.048828125,512,258.31346578366447,185.0,4983,79,126,54,222,234,360,2.802359819412231,52.49584197998047,10.519186973571776,-41.57112503051758,39.0476188659668,47.908233642578125
27,366.9384965831435,55.23006833712984,439,346.9161239078634,198.0,6295,91,137,52,229,263,431,13.643068313598633,72.1297836303711,-13.137697219848633,-56.1783447265625,38.998779296875,47.908233642578125
28,474.55313588850174,94.41202090592334,1148,432.17960771599934,238.0,6169,108,133,67,156,240,394,23.303834915161133,58.652244567871094,5.7336344718933105,-52.52653884887695,38.998779296875,47.70580291748047
29,,,0,,,0,0,0,49,125,205,346,-27.728612899780273,50.24958419799805,55.03385925292969,-80.97664642333984,38.998779296875,47.908233642578125
30,,,0,,,0,0,0,40,184,260,376,-20.4277286529541,4.409317970275879,94.58238983154295,-53.46072006225586,39.29182052612305,47.77328109741211
31,,,0,,,0,0,0,58,217,287,398,7.817109107971191,-8.153078079223633,90.42889404296876,-34.4373664855957,39.096458435058594,47.908233642578125
32,397.7701227830832,232.4113233287858,1466,373.4347826086956,341.0,4255,100,111,66,237,319,449,23.23008918762207,30.532445907592773,68.21670532226562,-68.15286254882812,39.0476188659668,47.84075546264648
33,,,0,,,0,0,0,48,234,261,442,32.89085388183594,57.73710632324219,12.505642890930176,-62.03821563720703,38.998779296875,47.77328109741211
34,,,0,,,0,0,0,69,277,363,483,-41.371681213378906,2.745424270629883,86.72686004638672,-39.78768539428711,38.998779296875,47.908233642578125
35,,,0,,,0,0,0,46,201,328,484,-37.315635681152344,4.409317970275879,66.2302474975586,-20.594480514526367,38.998779296875,47.908233642578125
36,6.583333333333333,177.4611111111111,180,78.27556650246305,200.0,10150,176,120,88,220,318,515,-22.271387100219727,55.1580696105957,3.566591501235962,-37.66454315185547,39.34066009521485,47.908233642578125
37,190.73231218088986,164.93800145878922,1371,202.35533980582525,200.0,1030,76,29,73,194,272,407,-0.6637167930603027,15.640599250793455,66.95259857177734,-47.346073150634766,38.998779296875,47.908233642578125
38,388.3085260115607,207.53395953757226,1384,369.44163589889234,320.0,3521,96,117,46,235,303,489,22.050148010253903,21.131446838378903,63.79232406616211,-52.866241455078125,38.9499397277832,47.908233642578125
39,29.527145359019265,185.86339754816112,571,93.16678181566948,200.0,7237,174,105,50,235,325,480,-17.99410057067871,37.27121353149414,67.7652359008789,-77.57962036132812,39.29182052612305,47.908233642578125
40,32.21461187214612,164.51141552511416,219,92.1267791249341,200.0,7588,177,116,46,218,295,426,-14.528023719787598,12.97836971282959,59.09706497192383,-24.161357879638672,39.0476188659668,47.77328109741211
41,267.7172195892575,153.87598736176935,1266,263.04616144161935,276.0,4051,118,125,80,166,240,389,6.637167930603027,13.97670555114746,57.65237045288086,-25.265392303466797,39.0476188659668,47.908233642578125
42,483.7831325301205,167.7597891566265,1328,441.9292991664094,291.0,6478,105,117,83,183,282,433,26.54867172241211,63.560733795166016,17.291196823120117,-78.93843078613281,38.998779296875,47.84075546264648
43,360.3840830449827,117.7208765859285,867,368.7361791462561,160.0,4287,80,143,49,319,435,612,13.938053131103516,78.20299530029297,-45.73363494873047,-22.12314224243164,38.998779296875,47.77328109741211
44,196.49041533546327,77.39563365282216,1878,186.79680511182107,121.0,1565,73,99,53,216,316,470,-3.466076612472534,73.7936782836914,-36.61399459838867,-25.09554100036621,39.0476188659668,47.77328109741211
45,,,0,,,0,0,0,59,312,398,546,-17.55162239074707,87.7703857421875,-67.58464813232422,-6.0721869468688965,39.0476188659668,47.84075546264648
46,485.37283950617285,287.558024691358,1620,447.16356062267045,387.0,4561,116,117,60,197,346,485,33.40707778930664,46.589019775390625,54.04063034057617,-79.95753479003906,38.998779296875,47.77328109741211
47,,,0,,,0,0,0,74,395,493,664,-43.8053092956543,24.708818435668945,93.40857696533205,-65.18046569824219,36.31257629394531,47.70580291748047
48,293.9532820816085,321.4997043169722,1691,293.3255555555556,416.0,4500,72,113,52,418,492,679,19.174041748046875,45.17470932006836,83.83747100830078,-96.1783447265625,38.510379791259766,47.84075546264648
