08-05-2026 17:38:02 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.062C soc2@51.031C soc0@52.562C gpu@53.875C tj@53.875C soc1@52.375C VDD_IN 8693mW/8738mW VDD_CPU_GPU_CV 2360mW/2266mW VDD_SOC 3725mW/3738mW
08-05-2026 17:38:03 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.562C soc2@51.093C soc0@52.718C gpu@53.875C tj@53.875C soc1@52.468C VDD_IN 8693mW/8736mW VDD_CPU_GPU_CV 2360mW/2269mW VDD_SOC 3725mW/3737mW
08-05-2026 17:38:04 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.187C soc2@51.125C soc0@52.687C gpu@53.906C tj@53.906C soc1@52.593C VDD_IN 8693mW/8734mW VDD_CPU_GPU_CV 2360mW/2273mW VDD_SOC 3725mW/3737mW
08-05-2026 17:38:05 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,1%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.187C soc2@51.031C soc0@52.843C gpu@54.031C tj@54.031C soc1@52.406C VDD_IN 8693mW/8733mW VDD_CPU_GPU_CV 2360mW/2276mW VDD_SOC 3725mW/3736mW
08-05-2026 17:38:06 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.5C soc2@51.187C soc0@52.906C gpu@54C tj@54C soc1@52.5C VDD_IN 8693mW/8732mW VDD_CPU_GPU_CV 2360mW/2279mW VDD_SOC 3725mW/3736mW
08-05-2026 17:38:07 RAM 1931/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.312C soc2@51.25C soc0@52.718C gpu@54.062C tj@54.062C soc1@52.593C VDD_IN 8693mW/8730mW VDD_CPU_GPU_CV 2360mW/2281mW VDD_SOC 3725mW/3736mW
08-05-2026 17:38:08 RAM 1933/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.718C soc2@51.343C soc0@52.812C gpu@54.156C tj@54.156C soc1@52.625C VDD_IN 8693mW/8729mW VDD_CPU_GPU_CV 2360mW/2284mW VDD_SOC 3685mW/3734mW
08-05-2026 17:38:09 RAM 1933/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.375C soc2@51.312C soc0@52.875C gpu@54.156C tj@54.156C soc1@52.625C VDD_IN 8653mW/8727mW VDD_CPU_GPU_CV 2360mW/2286mW VDD_SOC 3685mW/3733mW
08-05-2026 17:38:10 RAM 1933/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.531C soc2@51.375C soc0@52.968C gpu@54.312C tj@54.312C soc1@52.812C VDD_IN 8693mW/8726mW VDD_CPU_GPU_CV 2400mW/2289mW VDD_SOC 3685mW/3731mW
08-05-2026 17:38:11 RAM 1933/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.656C soc2@51.312C soc0@52.937C gpu@54.343C tj@54.343C soc1@52.718C VDD_IN 8733mW/8726mW VDD_CPU_GPU_CV 2400mW/2292mW VDD_SOC 3685mW/3730mW
08-05-2026 17:38:12 RAM 2025/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.656C soc2@51.437C soc0@53.218C gpu@54.406C tj@54.156C soc1@52.656C VDD_IN 8814mW/8729mW VDD_CPU_GPU_CV 2440mW/2297mW VDD_SOC 3725mW/3730mW
08-05-2026 17:38:13 RAM 2025/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,57%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.312C soc2@51.437C soc0@53.031C gpu@54.125C tj@54.125C soc1@52.75C VDD_IN 8280mW/8716mW VDD_CPU_GPU_CV 1996mW/2288mW VDD_SOC 3680mW/3728mW
08-05-2026 17:38:14 RAM 2064/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,24%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.375C soc2@51.437C soc0@53.125C gpu@54.125C tj@54.125C soc1@52.812C VDD_IN 8360mW/8707mW VDD_CPU_GPU_CV 1996mW/2281mW VDD_SOC 3720mW/3728mW
08-05-2026 17:38:15 RAM 2149/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,63%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.562C soc2@51.5C soc0@53.125C gpu@54.125C tj@54.125C soc1@52.968C VDD_IN 8693mW/8707mW VDD_CPU_GPU_CV 2280mW/2281mW VDD_SOC 3720mW/3728mW
08-05-2026 17:38:16 RAM 2149/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.812C soc2@51.687C soc0@53.156C gpu@54.218C tj@54.218C soc1@53.031C VDD_IN 8774mW/8708mW VDD_CPU_GPU_CV 2400mW/2284mW VDD_SOC 3725mW/3728mW
08-05-2026 17:38:17 RAM 2149/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.656C soc2@51.5C soc0@53.093C gpu@54.343C tj@54.343C soc1@52.968C VDD_IN 8814mW/8711mW VDD_CPU_GPU_CV 2440mW/2288mW VDD_SOC 3725mW/3728mW
08-05-2026 17:38:18 RAM 2149/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.687C soc2@51.531C soc0@53.312C gpu@54.343C tj@54.343C soc1@53C VDD_IN 8693mW/8711mW VDD_CPU_GPU_CV 2360mW/2289mW VDD_SOC 3685mW/3727mW
