elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
554.6,2026-08-05T04:15:36.623993+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
554.6,2026-08-05T04:15:36.623993+00:00,arms,right_gripper,2460,39,1,42,2446,2460
554.6,2026-08-05T04:15:36.623993+00:00,head,head_motor_1,2158,26,0,0,,
554.6,2026-08-05T04:15:36.623993+00:00,head,head_motor_2,1944,27,0,0,,
554.6,2026-08-05T04:15:36.623993+00:00,head,base_left_wheel,3449,26,0,0,,
554.6,2026-08-05T04:15:36.623993+00:00,head,base_back_wheel,3490,28,0,0,,
554.6,2026-08-05T04:15:36.623993+00:00,head,base_right_wheel,2180,27,0,0,,
555.6,2026-08-05T04:15:37.625042+00:00,arms,left_shoulder_pan,1851,37,1,1060,1857,1851
555.6,2026-08-05T04:15:37.625042+00:00,arms,left_shoulder_lift,2402,36,3,64,2389,2402
555.6,2026-08-05T04:15:37.625042+00:00,arms,left_elbow_flex,1643,36,3,68,1629,1643
555.6,2026-08-05T04:15:37.625042+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2173
555.6,2026-08-05T04:15:37.625042+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
555.6,2026-08-05T04:15:37.625042+00:00,arms,left_gripper,2014,37,0,0,2014,2014
555.6,2026-08-05T04:15:37.625042+00:00,arms,right_shoulder_pan,1968,38,1,1050,1974,1968
555.6,2026-08-05T04:15:37.625042+00:00,arms,right_shoulder_lift,2098,40,5,112,2049,2096
555.6,2026-08-05T04:15:37.625042+00:00,arms,right_elbow_flex,2128,40,4,76,2097,2127
555.6,2026-08-05T04:15:37.625042+00:00,arms,right_wrist_flex,1986,35,1,34,1976,1985
555.6,2026-08-05T04:15:37.625042+00:00,arms,right_wrist_roll,2109,34,1,1048,2114,2109
555.6,2026-08-05T04:15:37.625042+00:00,arms,right_gripper,2460,39,1,42,2446,2460
555.6,2026-08-05T04:15:37.625042+00:00,head,head_motor_1,2158,26,0,0,,
555.6,2026-08-05T04:15:37.625042+00:00,head,head_motor_2,1944,27,0,0,,
555.6,2026-08-05T04:15:37.625042+00:00,head,base_left_wheel,3450,26,0,0,,
555.6,2026-08-05T04:15:37.625042+00:00,head,base_back_wheel,3490,28,0,0,,
555.6,2026-08-05T04:15:37.625042+00:00,head,base_right_wheel,2180,27,0,0,,
556.6,2026-08-05T04:15:38.626089+00:00,arms,left_shoulder_pan,1851,38,1,1060,1857,1851
556.6,2026-08-05T04:15:38.626089+00:00,arms,left_shoulder_lift,2402,36,3,64,2389,2402
556.6,2026-08-05T04:15:38.626089+00:00,arms,left_elbow_flex,1643,37,2,68,1629,1643
556.6,2026-08-05T04:15:38.626089+00:00,arms,left_wrist_flex,2174,35,0,32,2169,2173
556.6,2026-08-05T04:15:38.626089+00:00,arms,left_wrist_roll,1987,34,1,1044,1989,1987
556.6,2026-08-05T04:15:38.626089+00:00,arms,left_gripper,2014,37,0,0,2014,2014
556.6,2026-08-05T04:15:38.626089+00:00,arms,right_shoulder_pan,1968,38,1,1050,1974,1968
556.6,2026-08-05T04:15:38.626089+00:00,arms,right_shoulder_lift,2098,40,6,112,2049,2096
556.6,2026-08-05T04:15:38.626089+00:00,arms,right_elbow_flex,2128,40,3,76,2097,2127
556.6,2026-08-05T04:15:38.626089+00:00,arms,right_wrist_flex,1986,35,0,34,1976,1985
556.6,2026-08-05T04:15:38.626089+00:00,arms,right_wrist_roll,2109,34,1,1048,2114,2109
556.6,2026-08-05T04:15:38.626089+00:00,arms,right_gripper,2460,39,1,42,2446,2460
556.6,2026-08-05T04:15:38.626089+00:00,head,head_motor_1,2158,26,0,0,,
556.6,2026-08-05T04:15:38.626089+00:00,head,head_motor_2,1944,28,0,0,,
556.6,2026-08-05T04:15:38.626089+00:00,head,base_left_wheel,3449,26,0,0,,
556.6,2026-08-05T04:15:38.626089+00:00,head,base_back_wheel,3490,28,0,0,,
556.6,2026-08-05T04:15:38.626089+00:00,head,base_right_wheel,2180,27,0,0,,
557.6,2026-08-05T04:15:39.627126+00:00,arms,left_shoulder_pan,1851,38,1,1060,1857,1851
557.6,2026-08-05T04:15:39.627126+00:00,arms,left_shoulder_lift,2402,36,3,64,2389,2402
557.6,2026-08-05T04:15:39.627126+00:00,arms,left_elbow_flex,1643,36,3,68,1629,1643
557.6,2026-08-05T04:15:39.627126+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2173
